A,B,C,D,E,F,G,H,I,J,K
83,94,100,0,100,0,87,27573,1,0,0
79,96,100,0,100,0,93,14202,1,0,0
84,84,100,0,100,0,98,5913,1,0,0
82,94,100,0,100,0,95,10239,1,0,0
81,91,100,0,100,0,96,9673,1,0,0
82,90,100,0,100,0,96,9696,1,0,0
82,92,100,0,100,0,100,0,1,0,0
77,95,100,0,100,0,93,15710,1,0,0
73,90,100,0,100,0,91,19282,1,0,0
80,95,100,0,100,0,98,4691,1,0,0
81,86,100,0,100,0,100,0,1,0,0
75,92,100,0,100,0,96,8218,1,0,0
83,93,100,0,100,0,88,25541,1,0,0
83,90,100,0,100,0,51,98142,1,0,0
75,90,100,0,100,0,90,21053,1,0,0
82,95,100,0,100,0,96,8649,1,0,0
68,84,100,0,100,0,100,0,1,0,0
83,96,100,0,100,0,92,16142,1,0,0
83,87,100,0,100,0,50,101370,1,0,0
83,96,100,0,100,0,100,0,1,0,0
84,96,100,0,100,0,100,0,1,0,0
84,94,100,0,100,0,89,23420,1,0,0
80,88,100,0,100,0,95,11958,1,0,0
79,92,100,0,100,0,100,0,1,0,0
80,97,100,0,100,0,96,9305,1,0,0
82,85,100,0,100,0,92,16473,1,0,0
84,89,100,0,100,0,96,8124,1,0,0
73,96,100,0,100,0,94,12797,1,0,0
70,92,100,0,100,0,100,0,1,0,0
82,88,100,0,100,0,51,99145,1,0,0
80,90,100,0,100,0,96,8626,1,0,0
81,90,100,0,100,0,100,0,1,0,0
81,90,100,0,100,0,100,0,1,0,0
83,96,100,0,100,0,96,8607,1,0,0
79,93,100,0,100,0,95,11632,1,0,0
80,90,100,0,100,0,1,327256,1,0,0
81,98,100,0,100,0,78,45913,1,0,0
78,88,100,0,100,0,89,22170,1,0,0
71,94,100,0,100,0,98,5879,1,0,0
84,92,100,0,100,0,96,8104,1,0,0
73,84,100,0,100,0,96,8807,1,0,0
83,92,100,0,100,0,92,17387,1,0,0
84,92,100,0,100,0,100,0,1,0,0
82,86,100,0,100,0,100,0,1,0,0
84,92,100,0,100,0,98,5137,1,0,0
78,92,100,0,100,0,98,5320,1,0,0
81,84,100,0,100,0,96,8718,1,0,0
84,84,100,0,100,0,93,15548,1,0,0
82,84,100,0,100,0,100,0,1,0,0
