A,B,C,D,E,F,G,H,I,J,K
83,99,100,0,100,0,96,9447,83,0,0
83,94,100,0,100,0,96,9094,83,0,0
84,99,100,0,100,0,89,23232,84,0,0
69,92,100,0,100,0,95,10565,69,0,0
74,98,100,0,100,0,96,9389,74,0,0
83,95,100,0,100,0,91,19891,83,0,0
84,96,100,0,100,0,97,6747,84,0,0
84,94,100,0,100,0,98,5936,84,0,0
81,89,100,0,100,0,96,9044,81,0,0
82,95,100,0,100,0,96,9058,82,0,0
79,94,100,0,100,0,98,5534,79,0,0
80,96,100,0,100,0,92,16985,80,0,0
82,89,100,0,100,0,95,11488,82,0,0
81,89,100,0,100,0,92,17940,81,0,0
80,96,100,0,100,0,92,17313,80,0,0
78,96,100,0,100,0,95,11986,78,0,0
81,94,100,0,100,0,48,105246,81,0,0
76,95,100,0,100,0,96,9818,76,0,0
82,95,100,0,100,0,97,7510,82,0,0
81,92,100,0,100,0,95,10772,81,0,0
79,89,100,0,100,0,98,5955,79,0,0
81,89,100,0,100,0,96,8201,81,0,0
81,86,100,0,100,0,97,7265,1,0,0
77,95,100,0,100,0,96,9897,77,0,0
76,89,100,0,100,0,94,12534,76,0,0
77,94,100,0,100,0,93,15839,77,0,0
80,89,100,0,100,0,94,13816,80,0,0
81,89,100,0,100,0,94,13354,81,0,0
82,95,100,0,100,0,94,13860,82,0,0
79,95,100,0,100,0,91,18100,79,0,0
81,84,100,0,100,0,96,8622,1,0,0
81,96,100,0,100,0,98,4774,1,0,0
78,89,100,0,100,0,99,3179,78,0,0
77,96,100,0,100,0,91,19740,1,0,0
83,90,100,0,100,0,97,6468,1,0,0
77,91,100,0,100,0,94,12554,77,0,0
80,96,100,0,100,0,94,12363,1,0,0
82,95,100,0,100,0,90,21866,82,0,0
82,96,100,0,100,0,96,9995,1,0,0
83,88,100,0,100,0,96,9031,1,0,0
72,96,100,0,100,0,97,7160,1,0,0
82,96,100,0,100,0,93,14741,1,0,0
77,90,100,0,100,0,96,9137,1,0,0
70,96,100,0,100,0,96,8560,70,0,0
84,90,100,0,100,0,96,9743,84,0,0
80,98,100,0,100,0,97,7647,80,0,0
82,90,100,0,100,0,90,20985,1,0,0
82,95,100,0,100,0,93,15086,82,0,0
83,94,100,0,100,0,91,19514,83,0,0
69,95,100,0,100,0,98,5726,69,0,0
82,89,100,0,100,0,93,14957,82,0,0
79,96,100,0,100,0,97,7960,1,0,0
78,92,100,0,100,0,94,13344,78,0,0
82,93,100,0,100,0,94,12930,1,0,0
78,90,100,0,100,0,95,10707,1,0,0
84,96,100,0,100,0,98,5112,84,0,0
83,95,100,0,100,0,97,7597,83,0,0
83,94,100,0,100,0,95,10636,83,0,0
82,94,100,0,100,0,92,16399,82,0,0
83,91,100,0,100,0,96,9941,83,0,0
83,89,100,0,100,0,93,15691,83,0,0
83,89,100,0,100,0,96,8449,83,0,0
81,94,100,0,100,0,97,7052,81,0,0
81,89,100,0,100,0,82,37943,81,0,0
78,89,100,0,100,0,94,12745,78,0,0
74,89,100,0,100,0,88,24181,74,0,0
81,84,100,0,100,0,97,6890,1,0,0
81,95,100,0,100,0,97,7441,81,0,0
81,85,100,0,100,0,96,9032,1,0,0
81,88,100,0,100,0,94,13833,1,0,0
83,90,100,0,100,0,94,12829,1,0,0
83,94,100,0,100,0,97,6529,83,0,0
79,95,100,0,100,0,96,8872,79,0,0
83,95,100,0,100,0,48,104773,83,0,0
100,99,100,0,100,0,92,17652,100,0,0
83,95,100,0,100,0,81,39384,83,0,0
81,92,100,0,100,0,96,9988,81,0,0
81,94,100,0,100,0,97,6581,1,0,0
70,89,100,0,100,0,83,34864,70,0,0
75,94,100,0,100,0,98,5777,1,0,0
83,91,100,0,100,0,86,29024,83,0,0
81,95,100,0,100,0,97,7364,81,0,0
83,88,100,0,100,0,97,6910,1,0,0
79,91,100,0,100,0,97,7974,1,0,0
81,96,100,0,100,0,94,13047,81,0,0
83,96,100,0,100,0,98,5282,83,0,0
81,88,100,0,100,0,89,22007,1,0,0
84,96,100,0,100,0,98,5799,84,0,0
79,95,100,0,100,0,96,9802,79,0,0
84,96,100,0,100,0,97,6330,84,0,0
81,94,100,0,100,0,98,5439,81,0,0
80,96,100,0,100,0,94,12111,1,0,0
78,94,100,0,100,0,94,13348,78,0,0
83,92,100,0,100,0,95,11986,1,0,0
82,88,100,0,100,0,98,5840,1,0,0
70,94,100,0,100,0,96,9538,70,0,0
82,85,100,0,100,0,99,3392,1,0,0
82,89,100,0,100,0,86,29269,1,0,0
74,88,100,0,100,0,97,6361,1,0,0
100,92,100,0,100,0,56,88988,100,0,0
84,96,100,0,100,0,93,15337,84,0,0
82,91,100,0,100,0,96,8281,82,0,0
80,85,100,0,100,0,99,3273,1,0,0
80,88,100,0,100,0,92,16456,1,0,0
84,92,100,0,100,0,95,10524,84,0,0
84,84,100,0,100,0,98,4698,1,0,0
79,88,100,0,100,0,98,4327,1,0,0
84,84,100,0,100,0,95,10262,1,0,0
78,98,100,0,100,0,98,4785,78,0,0
84,94,100,0,100,0,97,6992,84,0,0
81,96,100,0,97,3,96,8695,81,8,8
80,92,100,0,100,0,97,6092,80,0,0
83,98,100,0,100,0,73,55827,83,0,0
100,92,100,0,100,0,57,86684,100,0,0
79,95,100,0,100,0,92,17974,79,0,0
82,96,100,0,100,0,92,16210,82,0,0
82,98,100,0,100,0,98,4837,82,0,0
66,96,100,0,100,0,87,27499,66,0,0
81,98,100,0,100,0,88,24002,81,0,0
78,92,100,0,100,0,98,5485,78,0,0
73,95,100,0,100,0,42,116606,73,0,0
82,92,100,0,100,0,41,118574,82,0,0
77,95,100,0,100,0,96,8034,77,0,0
72,98,100,0,100,0,97,7242,72,0,0
76,95,100,0,100,0,98,5816,76,0,0
76,98,100,0,100,0,93,14801,76,0,0
81,98,100,0,100,0,97,7660,81,0,0
81,95,100,0,100,0,95,10553,81,0,0
79,94,100,0,100,0,86,29360,79,0,0
82,92,100,0,100,0,95,10698,82,0,0
81,94,100,0,100,0,96,8078,81,0,0
83,94,100,0,100,0,96,9344,83,0,0
78,94,100,0,100,0,95,11249,78,0,0
79,98,100,0,100,0,92,17842,79,0,0
